# ID,label,height,root_density,area,shape_index,linearity_top,planarity_top,sphericity_top,omnivariance_top,anisotropy_top,change_of_curvature_top,num_points
 134.00000,   1.00000,   6.01000,   0.01748,  10.03240,   0.77443,   0.29544,   0.64689,   0.05763,   0.09134,   0.94233,   0.03271, 286.00000
 135.00000,   1.00000,  13.75000,   0.01980,  10.76440,   0.80042,   0.55919,   0.37870,   0.06209,   0.10391,   0.93789,   0.04131, 404.00000
 136.00000,   1.00000,   7.29000,   0.00524,   8.88224,   0.72375,   0.57994,   0.38247,   0.03757,   0.16101,   0.96241,   0.02578, 191.00000
 137.00000,   1.00000,   5.04000,   0.02256,   7.10742,   0.65955,   0.69310,   0.25821,   0.04868,   0.21702,   0.95131,   0.03591, 133.00000
 138.00000,   1.00000,   6.58000,   0.01531,   6.20334,   0.57449,   0.67311,   0.22882,   0.09805,   0.14005,   0.90193,   0.06881, 196.00000
 139.00000,   1.00000,   9.58000,   0.01423,   8.52955,   0.72350,   0.40535,   0.55124,   0.04338,   0.08857,   0.95659,   0.02648, 281.00000
 140.00000,   1.00000,   6.09000,   0.00571,   9.24194,   0.75869,   0.52827,   0.42421,   0.04748,   0.09260,   0.95248,   0.03126, 350.00000
 141.00000,   1.00000,   8.03000,   0.02797,   7.37130,   0.66436,   0.68740,   0.27939,   0.03320,   0.17274,   0.96678,   0.02467, 143.00000
 142.00000,   1.00000,   5.97000,   0.01961,   8.00279,   0.66640,   0.63292,   0.31806,   0.04901,   0.17428,   0.95098,   0.03461, 153.00000
 143.00000,   1.00000,   6.12000,   0.01342,   8.74345,   0.72874,   0.15595,   0.79414,   0.04986,   0.08302,   0.95009,   0.02633, 298.00000
 144.00000,   1.00000,   7.38000,   0.01695,   9.68236,   0.77155,   0.03128,   0.89033,   0.07834,   0.09595,   0.92161,   0.03827, 295.00000
 145.00000,   1.00000,   7.54000,   0.01840,   6.68329,   0.62111,   0.73872,   0.23253,   0.02873,   0.15405,   0.97125,   0.02227, 163.00000
 146.00000,   1.00000,   6.28000,   0.01550,   7.35991,   0.66326,   0.69289,   0.25661,   0.05049,   0.23394,   0.94950,   0.03719, 129.00000
 147.00000,   1.00000,  13.74000,   0.02020,  10.05250,   0.79456,   0.32458,   0.66158,   0.01380,   0.06081,   0.98616,   0.00817, 297.00000
 148.00000,   1.00000,  13.49000,   0.01520,   8.66794,   0.74486,   0.41794,   0.52524,   0.05678,   0.08927,   0.94318,   0.03465, 329.00000
 149.00000,   1.00000,   6.45000,   0.01869,   8.29900,   0.70390,   0.68884,   0.27436,   0.03678,   0.09232,   0.96319,   0.02729, 321.00000
 150.00000,   1.00000,   6.08000,   0.00971,   8.90249,   0.71876,   0.16877,   0.78179,   0.04941,   0.10762,   0.95056,   0.02627, 309.00000
 151.00000,   1.00000,   6.24000,   0.01099,   8.84955,   0.73964,   0.51425,   0.42455,   0.06119,   0.19968,   0.93879,   0.03956, 182.00000
 152.00000,   1.00000,   8.49000,   0.00723,  14.82450,   0.93323,   0.27397,   0.62978,   0.09621,   0.10976,   0.90375,   0.05280, 553.00000
 153.00000,   1.00000,  11.05000,   0.01515,   6.47625,   0.59577,   0.86257,   0.11080,   0.02662,   0.18400,   0.97337,   0.02287, 132.00000
 154.00000,   1.00000,   6.23000,   0.01887,   5.96297,   0.61226,   0.76892,   0.21667,   0.01440,   0.12906,   0.98559,   0.01156, 106.00000
 155.00000,   1.00000,  10.03000,   0.00625,   9.00344,   0.70471,   0.65022,   0.32147,   0.02830,   0.16875,   0.97169,   0.02053, 160.00000
 156.00000,   1.00000,  14.68000,   0.01003,  13.04421,   0.83991,   0.48642,   0.41323,   0.10033,   0.16009,   0.89965,   0.06217, 299.00000
 157.00000,   1.00000,   7.47000,   0.01929,   9.26575,   0.75253,   0.33721,   0.62418,   0.03857,   0.08378,   0.96139,   0.02267, 311.00000
 158.00000,   1.00000,   9.34000,   0.00993,   7.98480,   0.68887,   0.33384,   0.62253,   0.04359,   0.08125,   0.95637,   0.02549, 302.00000
 159.00000,   1.00000,   7.00000,   0.02190,   6.55110,   0.59182,   0.81440,   0.17053,   0.01506,   0.11323,   0.98493,   0.01254, 137.00000
 160.00000,   1.00000,   7.16000,   0.01571,   8.07495,   0.67853,   0.53502,   0.43444,   0.03052,   0.12822,   0.96946,   0.02041, 191.00000
 161.00000,   1.00000,   6.34000,   0.01597,   9.32291,   0.74616,   0.39785,   0.56407,   0.03805,   0.10120,   0.96192,   0.02320, 313.00000
 162.00000,   1.00000,   7.40000,   0.01109,  13.16259,   0.83750,   0.30522,   0.63209,   0.06266,   0.10321,   0.93731,   0.03565, 451.00000
 163.00000,   1.00000,   6.40000,   0.00943,   3.44042,   0.48160,   0.67877,   0.31159,   0.00962,   0.06825,   0.99036,   0.00723, 106.00000
 164.00000,   1.00000,   5.92000,   0.00549,  11.07593,   0.82109,   0.08926,   0.85248,   0.05823,   0.11619,   0.94174,   0.02957, 364.00000
 165.00000,   1.00000,  12.21000,   0.02985,   7.86262,   0.66368,   0.83127,   0.14572,   0.02300,   0.18595,   0.97699,   0.01930, 134.00000
 166.00000,   1.00000,   5.89000,   0.01130,   8.97563,   0.73534,   0.66714,   0.31964,   0.01320,   0.12368,   0.98679,   0.00981, 177.00000
 167.00000,   1.00000,   5.58000,   0.01408,   7.38482,   0.64720,   0.70372,   0.26854,   0.02773,   0.17970,   0.97226,   0.02094, 142.00000
 168.00000,   1.00000,   6.30000,   0.01295,  11.67682,   0.81086,   0.45262,   0.51594,   0.03140,   0.07378,   0.96856,   0.01989, 386.00000
 169.00000,   1.00000,   7.82000,   0.00552,   9.97085,   0.77520,   0.29192,   0.68035,   0.02769,   0.06431,   0.97227,   0.01595, 362.00000
